"id";"product_id";"product_url";"very_happy";"happy";"satisfied";"indifferent";"disappointed";"time"
1;"B00QWO9P0O";"https://www.amazon.com/product-reviews/B00QWO9P0O/";25457;13684;676;4322;2635;"2022-03-25 10:48:49"
2;"";"https://www.amazon.de/-/en/Robot-Vacuum-Cleaner-Ultenic-WLAN/dp/B083Z8WVD3?pd_rd_w=uy19o&pf_rd_p=6a714a66-e50d-4b38-8978-063b5acc9313&pf_rd_r=Q2FMZHHWBR4M4D4NP3HV&pd_rd_r=515d0fde-91b2-463c-8103-848539d2f96c&pd_rd_wg=5mDuL&pd_rd_i=B083Z8WVD3&psc=1&ref_=pd_bap_d_rp_11_i";274;36;0;0;0;"2022-03-25 11:05:03"
3;"";"https://www.amazon.de/dp/B001ASGN6Q/ref=sspa_dk_detail_5?psc=1&pd_rd_i=B001ASGN6Q&pd_rd_w=Fn9Vv&pf_rd_p=4f2ceb27-95e9-46ab-8808-db390b56ec01&pd_rd_wg=8vm6g&pf_rd_r=KGA80P5WRYVSHYJZQ3N9&pd_rd_r=9ea1bf86-f3fe-4a80-8814-606c77660572&s=beauty&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExSldSTzlaV1hOUzg1JmVuY3J5cHRlZElkPUEwMTU4NTUzMUJaTTNBV0daRzE1RSZlbmNyeXB0ZWRBZElkPUEwMDEzODM4U0UxWDFFT0tYRFg4JndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==";289;21;0;0;0;"2022-03-25 11:16:37"
4;"";"https://www.amazon.de/-/en/HB674GBS1/dp/B00QRX02EI?ref_=Oct_d_otopr_d_111544011&pd_rd_w=RJfvt&pf_rd_p=78d5fa09-8886-4404-af2a-d82da3c51b12&pf_rd_r=WK2A6NY6R80D67NGEYKX&pd_rd_r=21d6c490-b4df-4874-bbf6-c21c1691bc79&pd_rd_wg=mVMTk&pd_rd_i=B00QRX02EI";292;18;0;0;0;"2022-03-25 11:36:01"
5;"";"https://www.amazon.de/Davidoff-Cool-Water-Toilette-Spray/dp/B01F2LBFJ6/ref=bmx_dp_p6arqsgn_7/261-5374494-6051041?pd_rd_w=Zkwq4&pf_rd_p=f832b782-c6a5-43d6-88d1-86e930023b7c&pf_rd_r=G9Z6JFZSKFHT7871E6HJ&pd_rd_r=c82be5ee-fe88-4397-8afb-8818482164d3&pd_rd_wg=vh2pO&pd_rd_i=B01F2LBFJ6&psc=1";288;22;0;0;0;"2022-03-25 11:43:51"
6;"";"https://www.amazon.de/dp/B00IOEEOCE/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B00IOEEOCE&pd_rd_w=TYd7v&pf_rd_p=4f2ceb27-95e9-46ab-8808-db390b56ec01&pd_rd_wg=8JZ7J&pf_rd_r=BSECZ1VTZWAA54K0M7SQ&pd_rd_r=024d53d0-5a64-41a0-aa10-14cbecd9374e&s=beauty&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExWDQ2RVVJTEkzSEM0JmVuY3J5cHRlZElkPUEwNjczNzcxWDVJQ0pBQjlERUxDJmVuY3J5cHRlZEFkSWQ9QTAzMjMzODExUzBETUxVU1NZUEFFJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==";288;22;0;0;0;"2022-03-25 11:45:44"
7;"";"https://www.amazon.com/dp/B07NTVPK21/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B07NTVPK21&pd_rd_w=Rhy28&pf_rd_p=b9951ce4-3bd8-4b04-9123-0fda35d6155e&pd_rd_wg=DKyHb&pf_rd_r=83HFF0ZBYHCD3B7AHMRS&pd_rd_r=53b56642-2b39-4665-a7f1-546695bc1719&s=beauty-intl-ship&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExR0FMS1dUWDlPQzE1JmVuY3J5cHRlZElkPUEwNTI2NDM2UEhKS0E0WDVZMFFNJmVuY3J5cHRlZEFkSWQ9QTA1NzM3OTMyMjFWWFA5UjVXMVBTJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==";297;13;0;0;0;"2022-03-25 12:09:27"
8;"";"https://www.amazon.com/AmazonBasics-Performance-Alkaline-Batteries-Count/dp/B00MNV8E0C/ref=lp_16225009011_1_2";291;19;0;0;0;"2022-03-25 12:11:33"
9;"B00LH3DMUO";"https://www.amazon.com/AmazonBasics-Performance-Alkaline-Batteries-36-Pack/dp/B00LH3DMUO/";24871;13881;853;4425;2744;"2022-03-25 12:27:15"
10;"B01J24C0TI";"B01J24C0TI";24975;13911;820;4384;2684;"2022-03-25 13:37:56"
11;"B01IB83NZG";"B01IB83NZG";25260;13605;830;4348;2731;"2022-03-25 13:43:15"
12;"B00MNV8E0C";"B00MNV8E0C";24776;13984;830;4402;2782;"2022-03-25 13:49:20"
13;"B01BH83OOM";"B01BH83OOM";25311;13587;804;4338;2734;"2022-03-25 13:54:09"
14;"B00IOY8XWQ";"B00IOY8XWQ";24941;13923;777;4393;2740;"2022-03-25 14:37:36"
15;"B018SZT3BK";"B018SZT3BK";25388;13629;779;4322;2656;"2022-03-25 14:45:35"
16;"B01AHB9CN2";"B01AHB9CN2";25051;13830;766;4429;2698;"2022-03-25 14:54:35"
17;"B018Y226XO";"B018Y226XO";25008;13807;855;4429;2675;"2022-03-25 15:06:14"
18;"B018Y22BI4";"B018Y22BI4";25146;13772;808;4346;2702;"2022-03-25 15:13:48"
19;"B01J94YIT6";"B01J94YIT6";25025;13814;844;4404;2687;"2022-03-25 15:17:23"
20;"B018Y225IA";"B018Y225IA";25472;13557;777;4318;2650;"2022-03-25 15:22:58"
21;"B00VKTZFB4";"B00VKTZFB4";25581;13703;706;4247;2537;"2022-03-25 15:29:00"
22;"B018Y224PY";" B018Y224PY";25682;13518;707;4322;2545;"2022-03-25 15:34:30"
23;"B018Y22C2Y";"B018Y22C2Y";25287;13689;752;4357;2689;"2022-03-25 15:38:26"
24;"B018Y23MNM";"B018Y23MNM";24789;13956;849;4394;2786;"2022-03-25 15:43:47"
25;"B018T075DC";"B018T075DC";24751;13914;894;4413;2802;"2022-03-25 15:50:25"
26;"B06XB29FPF";"B06XB29FPF";4869;124;0;6;1;"2022-03-25 16:54:31"
27;"";"https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q/ref=lp_16225009011_1_1";291;19;0;0;0;"2022-03-25 17:03:12"
28;"";"https://www.amazon.com/Gillette-Fusion5-Refills-Proglide-Blades/dp/B07NTVPK21/ref=cm_cr_arp_d_product_top?ie=UTF8";297;13;0;0;0;"2022-03-25 17:05:08"
29;"";"https://www.amazon.com/BENGOO-G9000-Controller-Cancelling-Headphones/dp/B01H6GUCCQ/ref=cm_cr_arp_d_product_top?ie=UTF8";283;27;0;0;0;"2022-03-25 17:11:53"
30;"";"https://www.amazon.com/Gillette-Fusion5-Razor-Handle-Refills/dp/B07DZYGDS3/ref=rtpb_sp_bmx_dp_pf84e3ln_4/135-4995712-8475139?pd_rd_w=lSeys&pf_rd_p=407a4dc8-ebaf-45b1-b787-5323644998e0&pf_rd_r=ZD7FVY7SB57JDYAV8Q29&pd_rd_r=ab5f7a6d-db55-4d49-89b5-5fc24876e984&pd_rd_wg=rz4UQ&pd_rd_i=B07DZYGDS3&psc=1";292;18;0;0;0;"2022-03-25 17:13:08"
31;"";"https://www.amazon.com/OIVO-Multifunctional-Vertical-Controller-Indicators/dp/B079FPFV3X/ref=pd_day0fbt_img_1/135-4995712-8475139?pd_rd_w=8Esro&pf_rd_p=bcb8482a-3db5-4b0b-9f15-b86e24acdb00&pf_rd_r=YW8WEB8FEY4KFE4ETJD5&pd_rd_r=baa5b729-790b-4ed5-9c71-21a9b94075dc&pd_rd_wg=3Ldy9&pd_rd_i=B079FPFV3X&psc=1";288;22;0;0;0;"2022-03-25 17:16:12"
32;"";"https://www.amazon.com/Controller-OIVO-Playstation-1-8-Hours-Replacement/dp/B075YBBQMM/ref=pd_day0fbt_img_1/135-4995712-8475139?pd_rd_w=h2duP&pf_rd_p=bcb8482a-3db5-4b0b-9f15-b86e24acdb00&pf_rd_r=C3PJ6EECR1AR2C2V3EQE&pd_rd_r=ad02e0eb-e066-4bbe-9976-acbeed9ef513&pd_rd_wg=ERsMy&pd_rd_i=B075YBBQMM&psc=1";292;18;0;0;0;"2022-03-25 17:22:32"
33;"";"https://www.amazon.com/New-Apple-AirPods-Max-Space/dp/B08PZHYWJS/ref=cm_cr_arp_d_product_top?ie=UTF8";283;27;0;0;0;"2022-03-25 17:24:57"
34;"";"https://www.amazon.com/Controller-Charger-Charging-Station-Playstation/dp/B07CTHLS2L/ref=cm_cr_arp_d_product_top?ie=UTF8";299;11;0;0;0;"2022-03-25 17:48:31"
35;"";"https://www.amazon.com/Controller-Charger-OIVO-Indicator-Playstation/dp/B07YWYXPC1/ref=cm_cr_arp_d_product_top?ie=UTF8";301;9;0;0;0;"2022-03-25 17:50:44"
36;"";"https://www.amazon.com/Apple-MME73AM-A-AirPods-3rd-Generation/dp/B09JQL3NWT/ref=cm_cr_arp_d_product_top?ie=UTF8";281;29;0;0;0;"2022-03-25 17:54:10"
37;"";"https://www.amazon.com/Controller-Charger-Charging-Compatible-Playstaion/dp/B08J41DPFN/ref=cm_cr_arp_d_product_top?ie=UTF8";297;13;0;0;0;"2022-03-25 17:56:30"
38;"";"https://www.amazon.com/Andis-17150-Profoil-Lithium/dp/B00TOUU700/ref=cm_cr_arp_d_product_top?ie=UTF8";280;29;0;1;0;"2022-03-25 18:04:10"
39;"";"https://www.amazon.com/Electric-Razor-Men-Rechargeable-Waterproof/dp/B082GKSPN9/ref=cm_cr_arp_d_product_top?ie=UTF8";288;22;0;0;0;"2022-03-25 18:06:22"
40;"";"https://www.amazon.com/Panasonic-Electric-ES-LV65-S-Flexible-Pivoting/dp/B00JWP8F3I/ref=cm_cr_arp_d_product_top?ie=UTF8";290;20;0;0;0;"2022-03-25 18:08:02"
41;"";"https://www.amazon.com/Philips-Norelco-Shaver-S3311-85/dp/B083JCXPY1/ref=cm_cr_arp_d_product_top?ie=UTF8";287;22;0;1;0;"2022-03-25 18:47:34"
42;"";"https://www.amazon.com/Braun-Electric-8467cc-Precision-SmartCare/dp/B099T1XPBJ/ref=cm_cr_arp_d_product_top?ie=UTF8";285;25;0;0;0;"2022-03-25 18:50:29"
43;"";"https://www.amazon.com/Replacement-Philips-Electric-Shaver-Durable/dp/B07Z3CCR3Z/ref=cm_cr_arp_d_product_top?ie=UTF8";299;11;0;0;0;"2022-03-25 18:52:16"
44;"";"https://www.amazon.com/Braun-Electric-Rechargeable-Cordless-Shaver/dp/B01M31O317/ref=cm_cr_arp_d_product_top?ie=UTF8";285;25;0;0;0;"2022-03-25 19:21:02"
45;"";"https://www.amazon.com/Braun-8330s-Generation-Electric-Rechargeable/dp/B088TLC3Y1/ref=cm_cr_arp_d_product_top?ie=UTF8";287;23;0;0;0;"2022-03-25 19:24:36"
46;"";"https://www.amazon.com/Gillette-Refills-Razors-Blades-Packaging/dp/B0039LMTHE/ref=cm_cr_arp_d_product_top?ie=UTF8";291;19;0;0;0;"2022-03-25 19:26:18"
47;"";"https://www.amazon.com/Schick-Sensitive-Absorbent-Technology-Refills/dp/B07DCKCFN2/ref=cm_cr_arp_d_product_top?ie=UTF8";528;32;0;0;0;"2022-03-25 19:30:18"
48;"";"https://www.amazon.com/Braun-Electric-8417s-Precision-Trimmer/dp/B09B13SN46/ref=cm_cr_arp_d_product_top?ie=UTF8";546;14;0;0;0;"2022-03-25 19:32:28"
49;"";"https://www.amazon.com/Braun-92S-Cutter-Replacement-Compatible/dp/B01M29018Y/ref=cm_cr_arp_d_product_top?ie=UTF8";538;22;0;0;0;"2022-03-25 19:34:06"
50;"";"https://www.amazon.com/Braun-Electric-Precision-Rechargeable-Cordless/dp/B07XD5T8MN/ref=cm_cr_arp_d_product_top?ie=UTF8";513;24;0;0;0;"2022-03-25 19:36:48"
51;"";"https://www.amazon.com/Gillette-Mach3-Razor-Blades-Refills/dp/B0725BK81G/ref=cm_cr_arp_d_product_top?ie=UTF8";529;30;0;1;0;"2022-03-25 19:38:04"
52;"";"https://www.amazon.com/Braun-Pulsonic-70S-Replacement-Compatible/dp/B001VEK1HQ/ref=cm_cr_arp_d_product_top?ie=UTF8";537;23;0;0;0;"2022-03-25 19:40:20"
53;"";"https://www.amazon.com/DualShock-Wireless-Controller-PlayStation-Glacier-4/dp/B07VBBJ6KZ/ref=cm_cr_arp_d_product_top?ie=UTF8";538;22;0;0;0;"2022-03-25 19:41:53"
54;"";"https://www.amazon.com/Schick-Sensitve-Razors-Handle-Refills/dp/B07YT557MW/ref=cm_cr_arp_d_product_top?ie=UTF8";534;26;0;0;0;"2022-03-25 19:43:38"
55;"";"https://www.amazon.com/6amLifestyle-Controller-Charger-Playstation-Microsoft/dp/B07PR2PKFC/ref=cm_cr_arp_d_product_top?ie=UTF8";288;27;0;0;0;"2022-03-25 19:46:01"
56;"";"https://www.amazon.com/Gillette-Sensor2-Disposable-Razor-Count/dp/B005FVBCI8/ref=cm_cr_arp_d_product_top?ie=UTF8";350;10;0;0;0;"2022-03-25 19:48:43"
57;"";"https://www.amazon.com/Controller-OIVO-Playstation-1-8-Hours-Replacement/dp/B075YBBQMM/ref=cm_cr_arp_d_product_top?ie=UTF8";546;14;0;0;0;"2022-03-25 19:49:54"
58;"";"https://www.amazon.com/DualShock-Wireless-Controller-PlayStation-Midnight-4/dp/B0799976M1/ref=cm_cr_arp_d_product_top?ie=UTF8";536;24;0;0;0;"2022-03-25 19:51:04"
59;"";"https://www.amazon.de/-/en/Amazon-Basics-Piece-Stick-Cookware/dp/B074817DK1/ref=cm_cr_arp_d_product_top?ie=UTF8";507;52;0;1;0;"2022-03-25 19:55:08"
60;"";"https://www.amazon.de/-/en/18505-STONELINE-Ceramic-Cookware-Sets/dp/B01KMAYKIU/ref=cm_cr_arp_d_product_top?ie=UTF8";520;40;0;0;0;"2022-03-25 19:56:05"
61;"";"https://www.amazon.de/-/en/Procook-Stewing-Enamelled-Suitable-Induction/dp/B07DHQPDPK/ref=cm_cr_arp_d_product_top?ie=UTF8";540;20;0;0;0;"2022-03-25 19:57:25"
62;"";"https://www.amazon.de/-/en/Procook-Stewing-Enamelled-Suitable-Induction/dp/B08D3TYL6Y/ref=cm_cr_arp_d_product_top?ie=UTF8";531;29;0;0;0;"2022-03-25 21:07:49"
63;"";"https://www.amazon.com/Mounting-Dream-Bracket-MD2296-Upgraded/dp/B00KY054BG/ref=cm_cr_arp_d_product_top?ie=UTF8";537;23;0;0;0;"2022-03-25 21:10:54"
64;"";"https://www.amazon.com/Logitech-G502-Performance-Gaming-Mouse/dp/B07GBZ4Q68/ref=cm_cr_arp_d_product_top?ie=UTF8";542;18;0;0;0;"2022-03-25 21:14:53"
65;"";"https://www.amazon.com/Mounting-Dream-Articulating-600x400mm-MD2296-24K/dp/B07SMF9SQM/ref=cm_cr_arp_d_product_top?ie=UTF8";538;22;0;0;0;"2022-03-25 21:27:07"
66;"";"https://www.amazon.com/Mounting-Dream-Articulating-600x400mm-MD2617/dp/B08JTW2ZCP/ref=cm_cr_arp_d_product_top?ie=UTF8";335;26;0;0;0;"2022-03-25 21:36:45"
67;"";"https://www.amazon.com/Mounting-Dream-Articulating-400x400mm-MD2377/dp/B00QOOZ4DE/ref=cm_cr_arp_d_product_top?ie=UTF8";525;29;0;6;0;"2022-03-25 21:39:32"
68;"";"https://www.amazon.com/Mounting-Dream-Articulating-400x400mm-MD2413-MX/dp/B00KXTZ3BE/ref=cm_cr_arp_d_product_top?ie=UTF8";523;37;0;0;0;"2022-03-25 21:44:39"
69;"";"https://www.amazon.com/SHOWKOO-Luggage-Expandable-Durable-Suitcase/dp/B091L2RMXC/ref=cm_cr_arp_d_product_top?ie=UTF8";536;24;0;0;0;"2022-03-25 21:46:02"
70;"";"https://www.amazon.com/Silicone-Luggage-Perfect-Quickly-Suitcase/dp/B076VL8HCC/ref=cm_cr_arp_d_product_top?ie=UTF8";536;23;0;1;0;"2022-03-25 21:47:53"
71;"";"https://www.amazon.com/Etekcity-Temperature-Function-Portable-Household/dp/B07L86BFZY/ref=cm_cr_arp_d_product_top?ie=UTF8";537;23;0;0;0;"2022-03-25 21:49:36"
